key,en-US,ja-JP,ko-KR,zh-CN,es-ES,de-DE,fr-FR
tooltip_buggy_version,,,,,,,
label_button_settings,UI.BUTTON SETTINGS,UI.ボタン設定,UI.버튼 설정,UI.按钮设置,AJUSTES DEL BOTÓN UI,UI.BUTTON EINSTELLUNGEN,PARAMÈTRES DU BOUTON UI
tooltip_button_settings,,,,,,,
label_button_type,Button Component,ボタンコンポーネント,버튼 컴포넌트,按钮组件,Componente botón,Button-Komponente,Composant Bouton
tooltip_button_type,,,,,,,
tooltip_changed_in_unity,"Components whose properties have been changed in the Unity Inspector.
Currently, tracking of two properties is supported: color and size.","Unityインスペクターでプロパティが変更されたコンポーネント。
現在、2つのプロパティの追跡がサポートされています: 色とサイズ。",Unity Inspector에서 속성이 변경된 컴포넌트입니다. 현재 색상과 크기 두 가지 속성 추적이 지원됩니다.,"在 Unity Inspector 中其属性已被更改的组件。
目前支持跟踪两个属性：颜色和大小。","Componentes cuyas propiedades han sido cambiadas en el Inspector de Unity.
Actualmente, se admite el seguimiento de dos propiedades: color y tamaño.","Komponenten, deren Eigenschaften im Unity Inspector geändert wurden.
Derzeit wird die Verfolgung von zwei Eigenschaften unterstützt: Farbe und Größe.","Composants dont les propriétés ont été modifiées dans l’Inspecteur Unity. Actuellement, le suivi de deux propriétés est pris en charge : couleur et taille."
label_compression_quality,Crunch Compression Quality,Crunch圧縮品質,Crunch 압축 품질,Crunch 压缩质量,Calidad de compresión Crunch,Crunch-Komprimierungsqualität,Qualité de compression Crunch
tooltip_compression_quality,"When using Crunch Texture compression, use the slider to adjust the quality. A higher compression quality means larger Textures and longer compression times.

Note: For Android platforms, the Compressor Quality values provide slightly different options. For more information, see Texture formats for platform-specific overrides.","Crunchテクスチャ圧縮を使用する場合、スライダーで品質を調整します。圧縮品質が高いほどテクスチャは大きくなり、圧縮時間も長くなります。

注: Androidプラットフォームでは、圧縮品質値に少し異なるオプションが用意されています。詳細については、プラットフォーム固有のオーバーライド用のテクスチャ形式を参照してください。","Crunch Texture 압축을 사용할 경우, 슬라이더로 품질을 조정하세요. 압축 품질이 높을수록 Texture 크기가 커지고 압축 시간이 길어집니다.

참고: Android 플랫폼에서는 압축기 품질 값이 조금 다른 옵션을 제공합니다. 자세한 내용은 플랫폼별 Texture 형식 문서를 참조하세요.","使用 Crunch 纹理压缩时，请使用滑块调整质量。更高的压缩质量意味着更大的纹理文件和更长的压缩时间。

注意：对于 Android 平台，压缩质量的取值略有不同。更多信息请参阅特定平台的纹理格式。","Al usar la compresión de Textura Crunch, utiliza el control deslizante para ajustar la calidad. Una mayor calidad de compresión significa Texturas más grandes y tiempos de compresión más largos.

Nota: Para las plataformas Android, los valores de Calidad de Compresor ofrecen opciones ligeramente diferentes. Para más información, consulta Formatos de textura para anulaciones específicas de la plataforma.","Wenn Crunch-Texturkomprimierung verwendet wird, benutzen Sie den Schieberegler, um die Qualität einzustellen. Höhere Komprimierungsqualität bedeutet größere Texturen und längere Komprimierungszeiten.

Hinweis: Für Android-Plattformen bieten die Werte der Kompressorqualität leicht unterschiedliche Optionen. Für weitere Informationen siehe Texturformate für plattformspezifische Überschreibungen.","Lors de l’utilisation de la compression de texture Crunch, utilisez le curseur pour ajuster la qualité. Une qualité de compression plus élevée signifie des textures plus grandes et des temps de compression plus longs.  

Remarque : pour les plateformes Android, les valeurs de qualité du compresseur offrent des options légèrement différentes. Pour plus d’informations, consultez les formats de texture pour les substitutions spécifiques à la plateforme."
label_crunched_compression,Use Crunch Compression,Crunch圧縮を使用,Crunch 압축 사용,使用 Crunch 压缩,Usar compresión Crunch,Crunch-Komprimierung verwenden,Utiliser la compression Crunch
tooltip_crunched_compression,"Use crunch compression, if applicable. Crunch is a lossy compression format on top of DXT or ETC Texture compression.

Unity decompresses Textures to DXT or ETC on the CPU and then uploads them to the GPU at runtime. Crunch compression helps the Texture use the lowest possible amount of space on disk and for downloads.

Crunch Textures can take a long time to compress, but decompression at runtime is very fast.","可能であればCrunch圧縮を使用します。CrunchはDXTまたはETCテクスチャ圧縮の上に成り立つ非可逆圧縮形式です。

Unityはランタイム時にCPUでテクスチャをDXTまたはETCに解凍し、その後GPUにアップロードします。Crunch圧縮は、テクスチャがディスクやダウンロード時に占めるスペースを最小限に抑えるのに役立ちます。

Crunchテクスチャは圧縮に時間がかかる場合がありますが、ランタイムでの解凍は非常に高速です。","적용 가능한 경우 Crunch 압축을 사용합니다. Crunch는 DXT 또는 ETC Texture 압축 위에서 작동하는 손실 압축 형식입니다.

Unity는 Texture를 CPU에서 DXT 또는 ETC로 압축 해제한 후 런타임에 GPU로 업로드합니다. Crunch 압축은 디스크 공간과 다운로드 시 필요한 용량을 최소화하는 데 도움이 됩니다.

Crunch Texture는 압축에 시간이 오래 걸릴 수 있지만, 런타임 압축 해제 속도는 매우 빠릅니다.","如适用，使用 Crunch 压缩。Crunch 是建立在 DXT 或 ETC 纹理压缩之上的有损压缩格式。

Unity 在 CPU 上将纹理解压缩为 DXT 或 ETC，然后在运行时上传到 GPU。Crunch 压缩有助于纹理在磁盘和下载时占用尽可能少的空间。

Crunch 纹理压缩时间可能较长，但运行时解压速度非常快。","Usar compresión Crunch, si es aplicable. Crunch es un formato de compresión con pérdida sobre la compresión de texturas DXT o ETC.

Unity descomprime las Texturas a DXT o ETC en la CPU y luego las carga en la GPU en tiempo de ejecución. La compresión Crunch ayuda a que la Textura use la menor cantidad posible de espacio en disco y en descargas.

Las Texturas Crunch pueden tardar mucho tiempo en comprimirse, pero la descompresión en tiempo de ejecución es muy rápida.","Crunch-Komprimierung verwenden, falls zutreffend. Crunch ist ein verlustbehaftetes Komprimierungsformat zusätzlich zu DXT- oder ETC-Texturkompression.

Unity dekomprimiert Texturen zur Laufzeit auf der CPU zu DXT oder ETC und lädt sie dann in die GPU. Crunch-Komprimierung hilft der Textur, den kleinstmöglichen Speicherplatz auf der Festplatte und beim Download zu verwenden.

Crunch-Texturen können lange zum Komprimieren benötigen, aber die Dekomprimierung zur Laufzeit ist sehr schnell.","Utiliser la compression Crunch, si applicable. Crunch est un format de compression avec pertes au-dessus de la compression de texture DXT ou ETC.  

Unity décompresse les textures en DXT ou ETC sur le CPU, puis les charge sur le GPU au moment de l’exécution. La compression Crunch aide la texture à utiliser le moins d’espace possible sur le disque et lors des téléchargements.  

Les textures Crunch peuvent prendre beaucoup de temps à compresser, mais la décompression à l’exécution est très rapide."
label_csv_separator,Separator,区切り記号,구분자,分隔符,Separador,Trennzeichen,Séparateur
tooltip_csv_separator,Character used to separate columns when exporting the localization CSV.,ローカライズ CSV を書き出す際に列を区切る文字です。,현지화 CSV를 내보낼 때 열을 구분하는 문자입니다.,导出本地化 CSV 时用于分隔列的字符。,Carácter que separa las columnas al exportar el CSV de localización.,"Zeichen, das beim Export der Lokalisierungs-CSV die Spalten trennt.",Caractère utilisé pour séparer les colonnes lors de l’export CSV.
label_dabutton_settings,D.A. BUTTON SETTINGS,D.A. ボタン設定,D.A. 버튼 설정,D.A. 按钮设置,AJUSTES DEL BOTÓN D.A.,D.A. BUTTON EINSTELLUNGEN,PARAMÈTRES D.A. BUTTON
tooltip_dabutton_settings,"Options specific to DAButton scaling, color, and sprite animations.",DAButton のスケールや色、スプライトアニメ専用のオプションです。,"DAButton의 스케일, 색상 및 스프라이트 애니메이션 전용 옵션입니다.",用于 DAButton 缩放、颜色和精灵动画的专用选项。,"Opciones específicas para la escala, color y animaciones de sprite de DAButton.","Optionen speziell für DAButton-Skalierung, Farben und Sprite-Animationen.","Options propres aux animations, couleurs et échelles de DAButton."
label_debug_tools,DEBUG TOOLS,デバッグツール,디버그 도구,调试工具,HERRAMIENTAS DE DEPURACIÓN,DEBUG-WERKZEUGE,OUTILS DE DÉBOGAGE
label_debug,DEBUG,デバッグ,디버그,调试,DEPURAR,DEBUG,DÉBOGAGE
tooltip_debug_tools,"Used for debugging the asset.
Parameters are applied globally to all instances of the asset.","アセットのデバッグに使用します。
パラメータはアセットのすべてのインスタンスにグローバル適用されます。",에셋 디버깅에 사용됩니다. 매개변수는 모든 에셋 인스턴스에 전역으로 적용됩니다.,"用于调试资源。
参数会全局应用于该资源的所有实例。","Usado para depurar el asset.
Los parámetros se aplican globalmente a todas las instancias del asset.","Wird für das Debugging des Assets verwendet.
Parameter werden global auf alle Instanzen des Assets angewendet.",Utilisé pour le débogage de l’actif. Les paramètres sont appliqués globalement à toutes les instances de l’actif.
label_dont_remove_fcu_meta,Don't remove this script until you are done with the layout.,レイアウトが完了するまでこのスクリプトを削除しないでください。,레이아웃이 완료될 때까지 이 스크립트를 제거하지 마세요.,在完成布局之前不要移除此脚本。,No elimines este script hasta que termines con el diseño.,"Dieses Skript nicht entfernen, bis Sie mit dem Layout fertig sind.",Ne supprimez pas ce script tant que vous n’avez pas terminé la mise en page.
tooltip_dont_remove_fcu_meta,,,,,,,
label_download_fonts_from_project,Download '{0}' fonts from project,プロジェクトから'{0}'フォントをダウンロード,프로젝트에서 '{0}' 폰트 다운로드,从项目下载“{0}”字体,Descargar fuentes '{0}' del proyecto,'{0}'-Schriften aus dem Projekt herunterladen,Télécharger les polices « {0} » depuis le projet
tooltip_download_fonts_from_project,Download every font referenced by the {0} text component in the current Figma file.,現在の Figma ファイルで {0} テキストコンポーネントが参照するフォントをすべてダウンロードします。,현재 Figma 파일에서 {0} 텍스트 컴포넌트가 사용하는 모든 폰트를 다운로드합니다.,下载当前 Figma 文件中 {0} 文本组件引用的所有字体。,Descarga todas las fuentes que usa el componente de texto {0} en el archivo de Figma actual.,"Lädt alle Schriften herunter, die die {0}-Textkomponente in der aktuellen Figma-Datei verwendet.",Télécharge toutes les polices référencées par le composant texte {0} dans le fichier Figma actuel.
label_figma_auth,FIGMA AUTH,FIGMA認証,FIGMA 인증,FIGMA 授权,AUTENTICACIÓN FIGMA,FIGMA-AUTHENTIFIZIERUNG,AUTH FIGMA
tooltip_figma_auth,,,,,,,
label_figma_layout_culture,Layout Language,レイアウト言語,레이아웃 언어,布局语言,Idioma del diseño,Layout-Sprache,Langue de mise en page
tooltip_figma_layout_culture,The language of your Figma project's text,Figmaプロジェクトのテキストの言語,Figma 프로젝트 텍스트의 언어,您的 Figma 项目中文本的语言,El idioma del texto de tu proyecto de Figma,Die Sprache des Textes Ihres Figma-Projekts,La langue du texte de votre projet Figma
label_flip_x,Flip X,X 軸反転,X 뒤집기,翻转 X,Voltear X,Spiegeln X,Inverser X
tooltip_flip_x,,,,,,,
label_flip_y,Flip Y,Y 軸反転,Y 뒤집기,翻转 Y,Voltear Y,Spiegeln Y,Inverser Y
tooltip_flip_y,,,,,,,
label_font_settings,FONT SETTINGS,フォント設定,폰트 설정,字体设置,AJUSTES DE FUENTE,SCHRIFTEINSTELLUNGEN,PARAMÈTRES DE POLICE
tooltip_font_settings,,,,,,,
label_force_fix,Force Fix,強制修正,강제 수정,强制修复,Corrección forzada,Erzwingen Fix,Réparer de force
tooltip_force_fix,,,,,,,
label_frames_to_import,FRAMES TO IMPORT ({0}/{1}),インポートするフレーム （{0}/{1}）,가져올 프레임 （{0}/{1}）,要导入的帧 （{0}/{1}）,CUADROS A IMPORTAR ({0}/{1}),ZU IMPORTIERENDE FRAMES ({0}/{1}),IMAGES À IMPORTER ({0}/{1})
tooltip_frames_to_import,Shows how many frames are selected ({0}) out of the total ({1}) for import.,選択中 {0} 件 / インポート対象 {1} 件を表示します。,선택된 프레임 {0}개 / 전체 {1}개를 표시합니다.,显示已选择的帧数量 ({0}) 及总数 ({1})。,Muestra cuántos frames hay seleccionados ({0}) del total ({1}) para importar.,"Zeigt, wie viele Frames ({0}) von insgesamt ({1}) für den Import ausgewählt sind.",Indique le nombre d'images sélectionnées ({0}) sur le total ({1}) à importer.
label_horizontal_mapping,Horizontal Mapping,水平マッピング,수평 매핑,水平映射,Mapeo horizontal,Horizontales Mapping,Cartographie horizontale
tooltip_horizontal_mapping,Horizontal UV mapping when using a shader with a texture face option.,テクスチャの面オプションを持つシェーダーを使用する際の水平 UV マッピング。,텍스처 면 옵션이 있는 셰이더를 사용할 때 수평 UV 매핑.,使用带有纹理面选项的着色器时的水平 UV 映射。,Mapeo UV horizontal al usar un sombreador con una opción de cara de textura.,Horizontales UV-Mapping bei Verwendung eines Shaders mit Texturflächenoption.,Cartographie UV horizontale lors de l'utilisation d'un shader avec une option de texture de face.
label_horizontal_overflow,Horizontal Overflow,水平方向のオーバーフロー,수평 오버플로우,水平溢出,Desbordamiento horizontal,Horizontaler Überlauf,Débordement horizontal
tooltip_horizontal_overflow,The method used to handle the situation where the text is too wide to fit in the rectangle. The options are Wrap and Overflow.,テキストが広すぎて矩形に収まらない場合の処理方法。オプションは「折り返し」と「オーバーフロー」です。,텍스트가 사각형에 맞기에는 너무 넓을 때 처리하는 방법입니다. 옵션은 줄바꿈과 오버플로우입니다.,用于处理文本过宽而无法适应矩形时的方法。选项为换行和溢出。,El método utilizado para manejar la situación en la que el texto es demasiado ancho para caber en el rectángulo. Las opciones son Ajustar y Desbordar.,"Die Methode, die verwendet wird, wenn der Text zu breit ist, um in das Rechteck zu passen. Die Optionen sind Umbruch und Überlauf.",La méthode utilisée pour gérer la situation où le texte est trop large pour s'adapter au rectangle. Les options sont Retour à la ligne et Débordement.
label_https_setting,HTTPS,HTTPS,HTTPS,HTTPS,HTTPS,HTTPS,HTTPS
tooltip_https_setting,Force FCU to use HTTPS when communicating with Figma.,Figma との通信に HTTPS を必ず使用します。,Figma와 통신할 때 FCU가 항상 HTTPS를 사용하도록 강제합니다.,强制 FCU 在与 Figma 通信时使用 HTTPS。,Obliga a FCU a usar HTTPS al comunicarse con Figma.,"Erzwingt, dass FCU bei der Kommunikation mit Figma HTTPS verwendet.",Force FCU à utiliser HTTPS lorsqu'il communique avec Figma.
label_image_component,Image Component,画像コンポーネント,이미지 컴포넌트,图像组件,Componente de imagen,Bildkomponente,Composant image
tooltip_image_component,Select which Image component implementation FCU should instantiate.,FCU が生成する Image コンポーネントの種類を選択します。,FCU가 생성할 Image 컴포넌트 구현을 선택합니다.,选择 FCU 应实例化的 Image 组件实现。,Selecciona qué implementación de Image debe instanciar FCU.,"Wähle, welche Image-Komponente FCU instanziieren soll.",Sélectionne quelle implémentation d'Image FCU doit instancier.
label_image_type,Type,タイプ,유형,类型,Tipo,Typ,Type
tooltip_image_type,,,,,,,
label_import_events,IMPORT EVENTS,インポートイベント,이벤트 가져오기,导入事件,IMPORTAR EVENTOS,EREIGNISSE IMPORTIEREN,IMPORTER DES ÉVÉNEMENTS
tooltip_import_events,Register callbacks invoked after the different import stages.,各インポート段階の後に呼び出されるコールバックを登録します。,각 가져오기 단계 후에 호출되는 콜백을 등록합니다.,注册在不同导入阶段后调用的回调。,Registra los callbacks que se ejecutan después de cada etapa de importación.,"Registriert Rückrufe, die nach den einzelnen Importstufen ausgelöst werden.",Enregistre les callbacks déclenchés après chaque étape d'importation.
log_import_stoped_because_error,Import stoped because error.,エラーのためインポートが停止しました。,오류로 인해 가져오기가 중지되었습니다.,由于错误，导入已停止。,Importación detenida por error.,Import aufgrund eines Fehlers gestoppt.,Importation arrêtée à cause d'une erreur.
tooltip_stop_import,Stop import,インポートを停止,가져오기 중지,停止导入,Detener importación,Import stoppen,Arrêter l'importation
label_kerning,Kerning,カーニング,커닝,字偶间距,Kerning,Kerning,Crénage
tooltip_kerning,Enables character specific spacing between pairs of characters.,文字の組み合わせごとに特定のスペース調整を有効にします。,문자 쌍 사이의 글자 간격을 문자별로 조정할 수 있습니다.,启用字符对之间的特定间距。,Permite el espaciado específico entre pares de caracteres.,Aktiviert zeichenspezifische Abstände zwischen Zeichenpaaren.,Active l'espacement spécifique entre les paires de caractères.
tooltip_kilobytes,,,,,,,
label_line_spacing,Line Spacing,行間隔,줄 간격,行间距,Espaciado entre líneas,Zeilenabstand,Interligne
tooltip_line_spacing,The vertical separation between lines of text.,テキスト行間の垂直方向の間隔。,텍스트 줄 사이의 세로 간격입니다.,文本行之间的垂直间距。,La separación vertical entre líneas de texto.,Der vertikale Abstand zwischen Textzeilen.,La séparation verticale entre les lignes de texte.
label_loc_case_type,Key Case,キーの大文字小文字,키 대소문자,键大小写,Tipo de mayúscula/minúscula de clave,Schlüssel-Schreibweise,Type de casse
tooltip_loc_case_type,Choose the casing style applied to generated localization keys.,生成されるローカライズキーに適用する大文字小文字のスタイルを選択します。,생성된 로컬라이제이션 키에 적용할 대소문자 스타일을 선택합니다.,选择应用于生成的本地化键的大小写风格。,Elige el estilo de mayúsculas que se aplicará a las claves de localización generadas.,Wähle das Groß-/Kleinschreibungsformat für generierte Lokalisierungsschlüssel.,Choisissez le style de casse appliqué aux clés de localisation générées.
label_loc_component,Localization Component,ローカリゼーションコンポーネント,로컬라이제이션 컴포넌트,本地化组件,Componente de localización,Lokalisierungskomponente,Composant de localisation
tooltip_loc_component,Select which runtime component applies localized strings.,ローカライズ文字列を適用する実行時コンポーネントを選択します。,로컬라이즈된 문자열을 적용할 런타임 컴포넌트를 선택합니다.,选择用于应用本地化字符串的运行时组件。,Selecciona qué componente en tiempo de ejecución aplica las cadenas localizadas.,"Wähle die Laufzeitkomponente, die lokalisierte Zeichenketten anwendet.",Sélectionnez le composant d'exécution qui applique les chaînes localisées.
label_localization_settings,LOCALIZATION,ローカリゼーション,로컬라이제이션,本地化,LOCALIZACIÓN,LOKALISIERUNG,LOCALISATION
tooltip_localization_settings,Manage CSV export/import options for localization.,ローカライズ用 CSV のエクスポート/インポート設定を管理します。,로컬라이제이션 CSV 내보내기/가져오기 옵션을 관리합니다.,管理本地化 CSV 的导出/导入选项。,Gestiona las opciones de exportación/importación del CSV de localización.,Verwaltet die Export-/Importoptionen für die Lokalisierungs-CSV.,Gérez les options d'export/import du CSV de localisation.
label_localizator,Localizator,ローカライザー,로컬라이저,本地化器,Localizador,Lokalisator,Localisateur
tooltip_localizator,,,,,,,
label_main_settings,MAIN SETTINGS,メイン設定,기본 설정,主要设置,AJUSTES PRINCIPALES,HAUPTEINSTELLUNGEN,PARAMÈTRES PRINCIPAUX
tooltip_main_settings,,,,,,,
label_mask_interaction,Mask Interaction,マスクの相互作用,마스크 상호작용,遮罩交互,Interacción de Máscara,Maskeninteraktion,Interaction du masque
tooltip_mask_interaction,,,,,,,
label_maskable,Maskable,マスク可能,마스크 가능,可遮罩,Enmascarable,Maskierbar,Masquable
tooltip_maskable,,,,,,,
label_mipmap_enabled,Generate Mip Maps,ミップマップを生成,밉맵 생성,生成 Mip 映射,Generar Mip Maps,Mip Maps erzeugen,Générer des Mip Maps
tooltip_mipmap_enabled,Check this box to enable mipmap generation.,このボックスをオンにするとミップマップ生成が有効になります。,밉맵 생성을 활성화하려면 이 상자를 선택하세요.,选中此框以启用 mipmap 生成。,Marca esta casilla para habilitar la generación de mipmaps.,"Aktivieren Sie dieses Kontrollkästchen, um die Mipmap-Erzeugung zu aktivieren.",Cochez cette case pour activer la génération des mipmaps.
label_namespace,Namespace,ネームスペース,네임스페이스,命名空间,Espacio de Nombres,Namensraum,Espace de noms
tooltip_namespace,Namespace applied to generated scripts.,生成されるスクリプトに適用する名前空間です。,생성된 스크립트에 적용할 네임스페이스입니다.,应用于生成脚本的命名空间。,Namespace que se aplicará a los scripts generados.,"Namespace, der auf die generierten Skripte angewendet wird.",Espace de noms appliqué aux scripts générés.
label_no_recent_projects,No recent projects found.,最近のプロジェクトが見つかりません。,최근 프로젝트를 찾을 수 없습니다.,未找到最近的项目。,No se encontraron proyectos recientes.,Keine aktuellen Projekte gefunden.,Aucun projet récent trouvé.
tooltip_no_recent_projects,No cached projects yet—import once to populate this list.,最近のプロジェクトはまだありません。インポートすると表示されます。,최근 프로젝트가 없습니다. 한 번 가져오면 목록이 채워집니다.,暂无最近项目。执行一次导入即可填充列表。,Todavía no hay proyectos recientes; importa uno para llenar la lista.,"Noch keine zuletzt verwendeten Projekte. Führe einen Import aus, um die Liste zu füllen.",Aucun projet récent pour le moment ; lancez un import pour alimenter cette liste.
label_override_tags,Override Tags,タグを上書き,태그 재정의,覆盖标签,Sobrescribir Etiquetas,Tags überschreiben,Remplacer les balises
tooltip_override_tags,Whether the color settings override the <color> tag.,カラー設定が<color>タグを上書きするかどうか。,색상 설정이 <color> 태그를 재정의하는지 여부.,颜色设置是否覆盖 <color> 标签。,Si la configuración de color sobrescribe la etiqueta <color>.,Ob die Farbeinstellungen das <color>-Tag überschreiben.,Indique si les paramètres de couleur remplacent la balise <color>.
label_parse_escape_characters,Parse Escape Characters,エスケープ文字を解析,이스케이프 문자 해석,解析转义字符,Analizar Caracteres de Escape,Escape-Zeichen parsen,Analyser les caractères d'échappement
tooltip_parse_escape_characters,"Whether to display strings such as \""\\n\"" as is or replace them by the character they represent.",「\\n」などの文字列をそのまま表示するか、対応する文字に置き換えるか。,"문자열 \""\\n\""을 그대로 표시할지 또는 해당 문자가 나타내는 기호로 바꿀지 여부.","是否将字符串如 \""\\n\"" 原样显示或替换为其所代表的字符。","Si se muestran cadenas como \""\\n\"" tal cual o se reemplazan por el carácter que representan.","Ob Zeichenketten wie \""\\n\"" so angezeigt oder durch das entsprechende Zeichen ersetzt werden.","Indique s'il faut afficher les chaînes comme \""\\n\"" telles quelles ou les remplacer par le caractère qu'elles représentent."
label_pixels_per_unit,Pixels Per Unit,1単位あたりのピクセル数,단위당 픽셀 수,每单位像素,Píxeles Por Unidad,Pixel pro Einheit,Pixels par unité
tooltip_pixels_per_unit,How many pixels in the sprite correspond to one unit in the world.,スプライトのピクセルがワールド内で1単位に対応する数。,스프라이트의 몇 픽셀이 월드에서 한 단위에 해당하는지.,精灵中的像素对应于世界中的一个单位数量。,Cuántos píxeles en el sprite corresponden a una unidad en el mundo.,Wie viele Pixel im Sprite einer Einheit in der Welt entsprechen.,Combien de pixels dans le sprite correspondent à une unité dans le monde.
label_positioning_mode,Positioning Mode,ポジショニングモード,배치 모드,定位模式,Modo de Posicionamiento,Positionierungsmodus,Mode de positionnement
tooltip_positioning_mode,,,,,,,
label_prefab_creator,PREFAB CREATOR,プレハブクリエーター,프리팹 생성기,预制件创建器,CREADOR DE PREFABS,PREFAB-ERSTELLER,CRÉATEUR DE PREFAB
tooltip_prefab_creator,Create reusable prefabs from Figma nodes.,Figma ノードから再利用可能なプレハブを作成します。,Figma 노드에서 재사용 가능한 프리팹을 생성합니다.,从 Figma 节点创建可复用的预制体。,Crea prefabs reutilizables a partir de nodos de Figma.,Erstellt wiederverwendbare Prefabs aus Figma-Knoten.,Crée des prefabs réutilisables à partir des nœuds Figma.
label_prefabs_path,Prefabs Path,プレハブパス,프리팹 경로,预制件路径,Ruta de Prefabs,Prefab-Pfad,Chemin des prefabs
tooltip_prefabs_path,Folder where generated prefabs are saved.,生成されたプレハブを保存するフォルダーです。,생성된 프리팹이 저장되는 폴더입니다.,用于存储生成预制体的文件夹。,Carpeta en la que se guardan los prefabs generados.,"Ordner, in dem die generierten Prefabs gespeichert werden.",Dossier où sont enregistrés les prefabs générés.
label_preserve_aspect,Preserve Aspect,アスペクト比を保持,종횡비 유지,保持纵横比,Conservar proporción,Seitenverhältnis beibehalten,Préserver les proportions
tooltip_preserve_aspect,,,,,,,
label_preserve_numbers,Preserve Numbers,数値を保持,숫자 유지,保留数字,Conservar números,Nummern beibehalten,Préserver les nombres
tooltip_preserve_numbers,,,,,,,
label_pui_falloff_distance,Falloff Distance,減衰距離,감쇠 거리,衰减距离,Distancia de atenuación,Abfall-Distanz,Distance de dégradé
tooltip_pui_falloff_distance,,,,,,,
label_rateme_desc,"Hello! 🙂

For {0} days, I continue to release
the updates of asset and
provide support to users.

If you like my asset, I will be grateful
if you rate it in the Asset Store.","こんにちは！🙂

{0}日間、私はアセットのアップデートを続け、
ユーザーにサポートを提供しています。

もし私のアセットを気に入っていただけたら、
Asset Store で評価していただけると嬉しいです。","안녕하세요! 🙂

{0}일 동안 저는 에셋의 업데이트를 계속 출시하고
사용자에게 지원을 제공하고 있습니다.

만약 제 에셋이 마음에 드신다면,
Asset Store에서 평가를 남겨주시면 감사하겠습니다.","你好！🙂

在过去的 {0} 天中，我持续发布
资源的更新并
为用户提供支持。

如果你喜欢我的资源，
我将非常感激你能在 Asset Store 中给我评分。","¡Hola! 🙂

Durante {0} días, continúo publicando
las actualizaciones del recurso y
proporcionando soporte a los usuarios.

Si te gusta mi recurso, estaré agradecido
si lo calificas en la Asset Store.","Hallo! 🙂

Seit {0} Tagen veröffentliche ich weiterhin
Updates des Assets und
biete Support für Benutzer an.

Wenn dir mein Asset gefällt, wäre ich dir dankbar,
wenn du es im Asset Store bewertest.","Bonjour ! 🙂

Depuis {0} jours, je continue à publier
des mises à jour de l’asset et à fournir 
du support aux utilisateurs.

Si vous aimez mon asset, je serai reconnaissant
si vous l’évaluez dans l’Asset Store."
tooltip_rateme_desc,,,,,,,
label_raycast_padding,Raycast Padding,レイキャストパディング,레이캐스트 패딩,射线检测填充,Margen de raycast,Raycast-Abstand,Marge de raycast
tooltip_raycast_padding,,,,,,,
label_raycast_target,Raycast Target,レイキャストターゲット,레이캐스트 대상,射线检测目标,Destino de raycast,Raycast-Ziel,Cible de raycast
tooltip_raycast_target,Whether the text blocks raycasts from the Graphic Raycaster.,テキストが Graphic Raycaster からのレイキャストをブロックするかどうか。,텍스트가 Graphic Raycaster에서의 레이캐스트를 차단하는지 여부.,文本是否会阻挡来自 Graphic Raycaster 的射线检测。,Indica si el texto bloquea raycasts del Graphic Raycaster.,Ob der Text Raycasts vom Graphic Raycaster blockiert.,Indique si le texte bloque les raycasts du Graphic Raycaster.
label_redownload_sprites,Redownload Sprites,スプライトを再ダウンロード,스프라이트 다시 다운로드,重新下载精灵图,Descargar sprites de nuevo,Sprites erneut herunterladen,Retélécharger les sprites
tooltip_redownload_sprites,"If enabled, the downloadable images will replace those that were downloaded earlier when old downloading.",有効にすると、再ダウンロード時に新しい画像が以前にダウンロードされた画像を置き換えます。,"이 옵션을 활성화하면, 다운로드 가능한 이미지가 이전에 다운로드된 이미지를 대체합니다.",如果启用，可下载的图片将会替换之前下载的旧图片。,"Si está activado, las imágenes descargables reemplazarán a las que se descargaron anteriormente en una descarga previa.","Wenn aktiviert, ersetzen die herunterladbaren Bilder diejenigen, die zuvor beim alten Herunterladen heruntergeladen wurden.","Si activé, les images téléchargeables remplaceront celles qui ont été téléchargées précédemment lors du téléchargement ancien."
label_render_mode,Render Mode,レンダーモード,렌더 모드,渲染模式,Modo de renderizado,Render-Modus,Mode de rendu
tooltip_render_mode,Specify the render mode to use when outputting the font atlas.,フォントアトラスを出力するときに使用するレンダーモードを指定します。,폰트 아틀라스를 출력할 때 사용할 렌더 모드를 지정합니다.,指定输出字体图集时使用的渲染模式。,Especifica el modo de renderizado que se usará al generar el atlas de fuentes.,"Gibt den Render-Modus an, der beim Ausgeben der Font-Atlas verwendet wird.",Spécifiez le mode de rendu à utiliser lors de la sortie de l’atlas de polices.
label_rich_text,Rich Text,リッチテキスト,리치 텍스트,富文本,Texto enriquecido,Rich Text,Texte enrichi
tooltip_rich_text,Enables the use of rich text tags such as <color> and <font>.,<color> や <font> などのリッチテキストタグの使用を有効にします。,"<color>, <font> 등의 리치 텍스트 태그 사용을 활성화합니다.",启用使用 <color> 和 <font> 等富文本标签。,Habilita el uso de etiquetas de texto enriquecido como <color> y <font>.,Ermöglicht die Verwendung von Rich-Text-Tags wie <color> und <font>.,Active l’utilisation des balises de texte enrichi telles que <color> et <font>.
label_shadow_type,Shadow Type,シャドウタイプ,그림자 유형,阴影类型,Tipo de sombra,Schatten-Typ,Type d’ombre
